## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0000008	a	a-PA	a-PB,a-PC
FBgn0000008	a	a-PD	
FBgn0000014	abd-A	abd-A-PA	abd-A-PC,abd-A-PD
FBgn0000014	abd-A	abd-A-PB	
FBgn0000015	Abd-B	Abd-B-PA	Abd-B-PC,Abd-B-PD,Abd-B-PE,Abd-B-PI,Abd-B-PJ
FBgn0000015	Abd-B	Abd-B-PB	Abd-B-PH
FBgn0000015	Abd-B	Abd-B-PF	
FBgn0000015	Abd-B	Abd-B-PG	
FBgn0000017	Abl	Abl-PA	Abl-PJ
FBgn0000017	Abl	Abl-PB	
FBgn0000017	Abl	Abl-PC	
FBgn0000017	Abl	Abl-PD	
FBgn0000017	Abl	Abl-PE	
FBgn0000017	Abl	Abl-PF	
FBgn0000017	Abl	Abl-PG	
FBgn0000017	Abl	Abl-PH	
FBgn0000017	Abl	Abl-PI	
FBgn0000018	abo	abo-PA	
FBgn0000022	ac	ac-PA	
FBgn0000024	Ace	Ace-PA	Ace-PB
FBgn0000024	Ace	Ace-PC	
FBgn0000028	acj6	acj6-PA	
FBgn0000028	acj6	acj6-PC	
FBgn0000028	acj6	acj6-PD	
FBgn0000028	acj6	acj6-PE	
FBgn0000028	acj6	acj6-PF	
FBgn0000028	acj6	acj6-PG	
FBgn0000028	acj6	acj6-PH	
FBgn0000028	acj6	acj6-PI	
FBgn0000028	acj6	acj6-PJ	
FBgn0000028	acj6	acj6-PK	
FBgn0000028	acj6	acj6-PL	
FBgn0000028	acj6	acj6-PM	
FBgn0000028	acj6	acj6-PN	
FBgn0000032	Acph-1	Acph-1-PA	
FBgn0000032	Acph-1	Acph-1-PB	
FBgn0000036	nAChRalpha1	nAChRalpha1-PA	nAChRalpha1-PC
FBgn0000036	nAChRalpha1	nAChRalpha1-PB	
FBgn0000037	mAChR-A	mAChR-A-PA	
FBgn0000037	mAChR-A	mAChR-A-PB	
